ID,Role,URL
5,"Director Design and Development: RD00M3 - Senior Manager, De...",http://www.indeed.com/rc/clk?jk=5a91cfdd233e5463&fccid=ec90dcdc88059f53&vjs=3
9,GROUP CHANGE UAT TEST LEAD,http://www.indeed.com/rc/clk?jk=5fe8a55f3e93105c&fccid=dd616958bd9ddc12&vjs=3
11,"Test Manager, Banking",http://www.indeed.com/rc/clk?jk=58221375cbce53a7&fccid=062f71e131e87cf0&vjs=3
22,GHI Services Support Manager,http://www.indeed.com/rc/clk?jk=44d8e8668baff0ea&fccid=734cb5a01ee60f80&vjs=3
26,Contract Project Manager (Business),http://www.indeed.com/rc/clk?jk=7526490c7ac67494&fccid=84dd258955114da3&vjs=3
30,Project Manager,http://www.indeed.com/rc/clk?jk=5111659508de0f75&fccid=57f862d6ef8a50ff&vjs=3
43,Software Engineering Manager,http://www.indeed.com/rc/clk?jk=3dce33aec2ebf3b8&fccid=dbc4f755c66b414b&vjs=3
ID,Role,URL
13,Product Manager,http://www.indeed.com/rc/clk?jk=5609dfb80aaa2c8d&fccid=6f9ac7cf38e2c8c0&vjs=3
20,M&E Coordinator/Manager,http://www.indeed.com/rc/clk?jk=4323290370c54268&fccid=1009ae30bb0e8382&vjs=3
28,Frontend Lead Software Engineer - Angular 4/ 5 -Messaging Pl...,http://www.indeed.com/company/Synchronoss/jobs/Frontend-Lead-Software-Engineer-70abf85280a9f4e6?fccid=18aa0b6d7b971962&vjs=3
38,.NET Support Technical Lead,http://www.indeed.com/rc/clk?jk=2925b4c336859bf9&fccid=8ad0ba7074a5e6ea&vjs=3
46,Test Program Manager – Electronic Channels Applications,http://www.indeed.com/rc/clk?jk=63ed861dd2cdef7d&fccid=5bcd1ef0a7f4fb99&vjs=3
ID,Role,URL
3,Team Leader - Aircraft Appearance and Aircraft Security,http://www.indeed.com/rc/clk?jk=ef2967201860e166&fccid=b5098f82d612aaef&vjs=3
5,Assistant Manager International Payments/Treasury,http://www.indeed.com/rc/clk?jk=3af17d6092044463&fccid=58a0b6e7b7d51d7e&vjs=3
7,Java Development Lead - VP,http://www.indeed.com/rc/clk?jk=c0e86e9c37ec55e8&fccid=5bcd1ef0a7f4fb99&vjs=3
8,"IT Audit Manager, Assistant Vice President",http://www.indeed.com/rc/clk?jk=885d29acec4c8a30&fccid=92f1ccd9154b0139&vjs=3
10,IT Audit Manager – SOC Specialist,http://www.indeed.com/rc/clk?jk=d024f56419c39e04&fccid=cf80abde47d3bd81&vjs=3
14,Site Reliability Engineer (SRE) – Team Lead,http://www.indeed.com/rc/clk?jk=3e8a53881dd0e82e&fccid=58a0b6e7b7d51d7e&vjs=3
42,QA Team Lead,http://www.indeed.com/rc/clk?jk=5bbf6436de9997c2&fccid=84dd258955114da3&vjs=3
ID,Role,URL
2,Full Stack Developer Lead,http://www.indeed.com/rc/clk?jk=175a89a2064e20e4&fccid=84dd258955114da3&vjs=3
6,Associate Project Manager,http://www.indeed.com/rc/clk?jk=e64fe2423d48dcbe&fccid=31670bef3ae6497b&vjs=3
14,QA Lead - Dublin 2,http://www.indeed.com/rc/clk?jk=fb35c18b452d532b&fccid=f85025e3269b61bf&vjs=3
15,Telecommunications Test Lead Engineer - Dublin,http://www.indeed.com/rc/clk?jk=4c0866e53b0c1f4e&fccid=79d95b1544240a36&vjs=3
